timestamp_utc: 2026-08-16T02:25:06Z
git_sha: 3e14c7e0ad027c7d0187e7a0524f0a5db976e126
dirty_tree: false
capture_eligibility: eligible
no_regression: N/A
gin_version: v1.12.0
fixture_identity: gin-v1.12.0-parser-only-local
go_version: go version go1.26.6 darwin/arm64
goos: darwin
goarch: arm64
cpu: 1,2,4
logical_cpus: 10
benchmark_count: 5
max_output_bytes: 10485760
command: go test -timeout=10m -run \^\$ -bench \^BenchmarkGinAdapter -benchmem -count=5 -cpu=1\,2\,4 ./web/gin
output_begin
goos: darwin
goarch: arm64
pkg: github.com/bluetape4k/bluetape-go/web/gin
cpu: Apple M5
BenchmarkGinAdapterColdFirstRequest-2             	  128942	      9385 ns/op	   12634 B/op	     101 allocs/op
BenchmarkGinAdapterColdFirstRequest-2             	  127252	      9344 ns/op	   12634 B/op	     101 allocs/op
BenchmarkGinAdapterColdFirstRequest-2             	  128086	      9378 ns/op	   12634 B/op	     101 allocs/op
BenchmarkGinAdapterColdFirstRequest-2             	  127986	      9329 ns/op	   12634 B/op	     101 allocs/op
BenchmarkGinAdapterColdFirstRequest-2             	  128787	      9866 ns/op	   12634 B/op	     101 allocs/op
BenchmarkGinAdapterColdFirstRequest-4             	  133911	      8807 ns/op	   12895 B/op	     101 allocs/op
BenchmarkGinAdapterColdFirstRequest-4             	  137139	      8764 ns/op	   12895 B/op	     101 allocs/op
BenchmarkGinAdapterColdFirstRequest-4             	  135902	      8818 ns/op	   12895 B/op	     101 allocs/op
BenchmarkGinAdapterColdFirstRequest-4             	  136357	      8810 ns/op	   12895 B/op	     101 allocs/op
BenchmarkGinAdapterColdFirstRequest-4             	  137319	      8808 ns/op	   12895 B/op	     101 allocs/op
BenchmarkGinAdapterWarmRequest/Serial             	  232514	      5206 ns/op	   12009 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Serial             	  232641	      5169 ns/op	   12009 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Serial             	  233883	      5142 ns/op	   12009 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Serial             	  235167	      5172 ns/op	   12009 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Serial             	  232294	      5181 ns/op	   12009 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Serial-2           	  271467	      4392 ns/op	   12010 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Serial-2           	  274594	      4373 ns/op	   12010 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Serial-2           	  273945	      4393 ns/op	   12010 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Serial-2           	  272798	      4377 ns/op	   12010 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Serial-2           	  274930	      4377 ns/op	   12010 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Serial-4           	  277410	      4341 ns/op	   12013 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Serial-4           	  276214	      4356 ns/op	   12013 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Serial-4           	  279180	      4375 ns/op	   12013 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Serial-4           	  269774	      4354 ns/op	   12013 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Serial-4           	  272968	      4325 ns/op	   12013 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Parallel           	  231604	      5159 ns/op	   12009 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Parallel           	  234150	      5173 ns/op	   12009 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Parallel           	  233973	      5137 ns/op	   12009 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Parallel           	  235221	      5123 ns/op	   12009 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Parallel           	  234136	      5169 ns/op	   12009 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Parallel-2         	  352004	      3438 ns/op	   12011 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Parallel-2         	  349647	      3473 ns/op	   12011 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Parallel-2         	  346868	      3488 ns/op	   12011 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Parallel-2         	  349614	      3508 ns/op	   12011 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Parallel-2         	  343551	      3735 ns/op	   12011 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Parallel-4         	  342661	      4283 ns/op	   12016 B/op	      96 allocs/op
BenchmarkGinAdapterWarmRequest/Parallel-4         	  329062	      3416 ns/op	   12016 B/op	      96 allocs/op
